GeneID	Name	Start	End	P_1_trim	P_2_trim	P_3_trim	P_7_trim	P_8_trim	P_9_trim	E_1_trim	E_2_trim	E_3_trim	E_7_trim	E_8_trim	E_9_trim
rno-miR-342-5p	NC_005105.4	132561187	132561208	558	735	402	408	594	615	435	372	726	708	339	723
rno-miR-342-3p	NC_005105.4	132561229	132561251	2112	6048	3066	1863	3411	3645	3720	1755	2808	6519	4065	3816
rno-miR-345-5p	NC_005105.4	132748983	132749003	27	21	15	27	15	21	24	12	9	57	9	24
rno-miR-345-3p	NC_005105.4	132749021	132749042	54	132	45	54	36	87	39	27	78	78	36	45
rno-miR-770-5p	NC_005105.4	133682975	133682996	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-770-3p	NC_005105.4	133683010	133683026	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-673-5p	NC_005105.4	133691391	133691412	3	0	0	0	0	0	6	0	0	0	0	0
rno-miR-673-3p	NC_005105.4	133691431	133691452	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-493-5p	NC_005105.4	133699522	133699543	0	0	0	3	0	3	0	0	0	0	0	3
rno-miR-493-3p	NC_005105.4	133699562	133699582	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-337-5p	NC_005105.4	133705948	133705968	0	3	0	0	0	0	3	0	0	0	0	3
rno-miR-337-3p	NC_005105.4	133705979	133706001	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-3544	NC_005105.4	133705943	133705965	0	3	0	0	0	0	3	0	0	0	0	3
rno-miR-540-5p	NC_005105.4	133706216	133706238	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-540-3p	NC_005105.4	133706253	133706274	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-665	NC_005105.4	133706511	133706532	0	6	0	0	0	0	0	0	0	0	0	0
rno-miR-431	NC_005105.4	133711444	133711464	0	3	0	0	0	6	0	0	0	6	9	0
rno-miR-433-5p	NC_005105.4	133712345	133712366	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-433-3p	NC_005105.4	133712397	133712418	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-127-5p	NC_005105.4	133713452	133713474	0	0	0	0	0	0	0	0	0	0	6	0
rno-miR-127-3p	NC_005105.4	133713486	133713507	108	282	141	369	114	249	165	294	144	243	207	153
rno-miR-3543	NC_005105.4	133715427	133715449	3	24	15	9	24	9	3	15	6	12	6	12
rno-miR-434*	NC_005105.4	133715389	133715411	0	3	0	0	3	0	3	0	0	0	3	0
rno-miR-434	NC_005105.4	133715427	133715448	3	24	15	9	24	9	3	15	6	12	6	12
rno-miR-136-5p	NC_005105.4	133716775	133716797	3	0	9	0	3	0	0	3	0	3	3	3
rno-miR-136-3p	NC_005105.4	133716809	133716830	6	0	6	21	9	3	9	12	6	9	3	9
rno-miR-341	NC_005105.4	133733296	133733316	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-1188-5p	NC_005105.4	133733588	133733608	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-1188-3p	NC_005105.4	133733626	133733642	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-370-5p	NC_005105.4	133739928	133739951	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-370-3p	NC_005105.4	133739963	133739984	0	0	0	0	0	0	0	3	0	0	0	0
rno-miR-379-5p	NC_005105.4	133857715	133857735	0	0	0	0	0	3	3	3	0	3	0	0
rno-miR-379-3p	NC_005105.4	133857751	133857772	0	0	0	0	0	0	0	0	0	0	0	3
rno-miR-411-5p	NC_005105.4	133858859	133858879	9	24	9	24	6	6	0	48	12	6	18	12
rno-miR-411-3p	NC_005105.4	133858894	133858913	0	0	0	0	0	0	0	0	3	0	0	0
rno-miR-299b-3p	NC_005105.4	133859332	133859348	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-299b-5p	NC_005105.4	133859361	133859380	0	0	0	0	0	0	3	3	3	0	0	0
rno-miR-299a-5p	NC_005105.4	133859330	133859351	0	0	0	0	0	0	3	0	0	0	0	0
rno-miR-299a-3p	NC_005105.4	133859362	133859382	0	0	0	0	0	0	3	3	0	0	0	0
rno-miR-3579	NC_005105.4	133860501	133860522	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-380-5p	NC_005105.4	133860500	133860521	0	0	0	0	0	0	0	0	0	0	0	0
rno-miR-380-3p	NC_005105.4	133860536	133860556	0	0	0	0	0	0	0	0	0	0	0	0
